relationshipspairslash,General Audiences,Teen And Up Audiences,Mature,Explicit,Not Rated,Total
Benjamin Sisko/Ezri Dax/Kasidy Yates,0,0,0,1,0,1
Curzon Dax/Julian Bashir,0,1,0,0,0,1
Elim Garak/Keiko O'Brien/Kelas Parmak/Miles O'Brien,0,0,0,1,0,1
Amsha Bashir/Elim Garak,0,0,0,1,0,1
Amsha Bashir/Elim Garak/Richard Bashir,0,0,0,1,0,1
Brunt/non-cast,0,0,0,1,0,1
Julian Bashir/Keiko O'Brien/Kira Nerys/Miles O'Brien,0,1,0,0,0,1
Corat Damar/Quark,0,0,1,0,0,1
Grilka/Lenara Kahn/non-cast,0,1,0,0,0,1
Jadzia Dax/Jennifer Sisko,0,1,0,0,0,1
Vash/non-cast,0,1,0,0,0,1
Borath/Weyoun,0,0,0,1,0,1
Emergency Medical Hologram Mark II/non-cast,0,1,0,0,0,1
Elim Garak/Quark/non-cast,1,0,0,0,0,1
Iliana Ghemor/Tora Ziyal,0,1,0,0,0,1
Ezri Dax/Vic Fontaine,0,1,0,0,0,1
Ezri Dax/Lauren,0,0,1,0,0,1
Leeta/Zek/non-cast,0,0,1,0,0,1
Corat Damar/Gul Rusot,0,0,0,1,0,1
Gowron/Julian Bashir,0,0,1,0,0,1
Elim Garak/Julian Bashir/Kira Nerys,0,1,0,0,0,1
Bareil Antos/Julian Bashir,0,1,0,0,0,1
Miles O'Brien/Worf,0,0,0,1,0,1
Jadzia Dax/Jadzia Dax,0,1,0,0,0,1
Lwaxana Troi/Odo/Quark,0,1,0,0,0,1
Lwaxana Troi/Quark,0,1,0,0,0,1
Elim Garak/Morn,1,0,0,0,0,1
Elim Garak/Worf/non-cast,0,1,0,0,0,1
Kimara Cretak/non-cast,0,1,0,0,0,1
Jack/non-cast,0,0,1,0,0,1
Benjamin Sisko/Jennifer Sisko/Kasidy Yates,1,0,0,0,0,1
Lauren/non-cast,1,0,0,0,0,1
Elim Garak/Luther Sloan,0,0,0,0,1,1
Odo/Skrain Dukat,0,0,0,0,1,1
Dax/Julian Bashir/Kira Nerys/Odo,0,0,0,0,1,1
Elim Garak/Opaka,0,1,0,0,0,1
Ishka/Jadzia Dax,0,1,0,0,0,1
Jennifer Sisko/Miles O'Brien,0,1,0,0,0,1
Bareil Antos/Winn Adami,0,1,0,0,0,1
Dax/Kira Nerys,0,1,0,0,0,1
Kira Nerys/Vic Fontaine,0,0,1,0,0,1
Elim Garak/Keevan,0,0,0,1,0,1
Martok/Sirella,1,0,0,0,0,1
Ezri Dax/Jadzia Dax/non-cast,0,0,0,0,1,1
Mareel/Verad,0,1,0,0,0,1
Alexander Rozhenko/Lauren,0,0,1,0,0,1
Boday/Jadzia Dax,0,1,0,0,0,1
Jake Sisko/Laira,0,1,0,0,0,1
Jake Sisko/Mardah,0,1,0,0,0,1
Jadzia Dax/Keiko O'Brien/Kira Nerys,0,0,1,0,0,1
Prinadora/Rom,0,1,0,0,0,1
Lela Dax/non-cast,0,0,0,1,0,1
Dax/Jadzia Dax,1,0,0,0,0,1
Deyos/Weyoun,0,0,0,0,1,1
Luaran/Yelgrun,0,0,0,0,1,1
Ezri Dax/Skrain Dukat,1,0,0,0,0,1
Julian Bashir/Kukalaka,0,0,1,0,0,1
Tekeny Ghemor/non-cast,0,0,1,0,0,1
Keevan/Weyoun/non-cast,0,0,0,1,0,1
Elim Garak/Winn Adami,0,0,1,0,0,1
Elim Garak/Julian Bashir/Miles O'Brien/non-cast/non-cast,0,1,0,0,0,1
Elim Garak/Julian Bashir/non-cast/non-cast,0,1,0,0,0,1
Bareil Antos/Benjamin Sisko,0,0,0,1,0,1
Elim Garak/Kai Winn,0,0,0,1,0,1
Michael Eddington/Rebecca Sullivan,0,1,0,0,0,1
Deral/Jadzia Dax,1,0,0,0,0,1
Keiko O'Brien/Kira Nerys/Miles O'Brien/non-cast,0,1,0,0,0,1
Gowron/non-cast,0,0,0,1,0,1
Elim Garak/Procal Dukat,0,1,0,0,0,1
Skrain Dukat/Vreenak/non-cast,0,0,0,1,0,1
Kira Nerys/Natima Lang,1,0,0,0,0,1
Kai Winn/Skrain Dukat,1,0,0,0,0,1
Kaga/Quark,0,0,1,0,0,1
Omet'iklan/Weyoun,0,0,0,1,0,1
Jadzia Dax/Julian Bashir/Kira Nerys,0,0,0,1,0,1
Dax/Julian Bashir,0,1,0,0,0,1
Elim Garak/Kelas Parmak/Tora Ziyal,0,0,0,1,0,1
Kelas Parmak/Tora Ziyal,0,0,0,1,0,1
Elim Garak/Julian Bashir/Morn,0,1,0,0,0,1
Jadzia Dax/K'Ehleyr/Worf,0,0,1,0,0,1
Drex/Elim Garak,0,0,0,1,0,1
Athra Dukat/Skrain Dukat,0,1,0,0,0,1
Lwaxana Troi/Mora Pol,0,0,1,0,0,1
Elim Garak/Q,0,0,1,0,0,1
Elim Garak/Skrain Dukat/Tora Naprem,0,0,0,1,0,1
Jadzia Dax/Kira Nerys/Leeta/Lenara Kahn,0,1,0,0,0,1
Elim Garak/Kelas Parmak/Pythas Lok,0,0,0,1,0,1
Corat Damar/Elim Garak/Julian Bashir,1,0,0,0,0,1
Gilora Rejal/Nal Dejar,0,0,0,1,0,1
Leeta/Quark,0,1,0,0,0,1
Corat Damar/Niala Damar,0,0,0,0,1,1
Kelas Parmak/Pythas Lok,0,0,0,1,0,1
Miles O'Brien/non-cast/non-cast,0,1,0,0,0,1
Quark/Vash,0,1,0,0,0,1
Jadzia Dax/Julian Bashir/Kira Nerys/non-cast,1,0,0,0,0,1
Keevan/Kilana,0,0,1,0,0,1
Jadzia Dax/Julian Bashir/Leeta,0,0,1,0,0,1
Elim Garak/Skrain Dukat/Weyoun,0,0,0,1,0,1
Elim Garak/Jadzia Dax/non-cast,0,0,0,1,0,1
Elim Garak/Jack,0,0,0,1,0,1
Corat Damar/Jadzia Dax,0,0,0,1,0,1
Athra Dukat/Tora Naprem,0,1,0,0,0,1
Kira Nerys/Tahna Los,0,1,0,0,0,1
Kira Nerys/Kira Reon,0,1,0,0,0,1
Alexander Rozhenko/non-cast,1,0,0,0,0,1
Kira Meru/non-cast,0,1,0,0,0,1
Kira Nerys/Lenara Kahn,1,0,0,0,0,1
Julian Bashir/Lauren,0,0,1,0,0,1
Total,2382,2737,1294,1774,306,8493
