relationshipspairslash,No Archive Warnings Apply,Choose Not To Use Archive Warnings,Graphic Depictions Of Violence,Major Character Death,Rape/Non-Con,Underage,Total
Corat Damar/Elim Garak/Julian Bashir,1,0,0,0,0,0,1
Gilora Rejal/Nal Dejar,1,0,0,0,0,0,1
Leeta/Quark,1,0,0,0,0,0,1
Corat Damar/Niala Damar,1,0,0,0,0,0,1
Kelas Parmak/Pythas Lok,0,1,0,0,0,0,1
Miles O'Brien/non-cast/non-cast,1,0,0,0,0,0,1
Quark/Vash,0,1,0,0,0,0,1
Jadzia Dax/Julian Bashir/Kira Nerys/non-cast,1,0,0,0,0,0,1
Keevan/Kilana,0,0,1,1,0,0,2
Jadzia Dax/Julian Bashir/Leeta,0,1,0,0,0,0,1
Elim Garak/Skrain Dukat/Weyoun,1,0,0,0,0,0,1
Elim Garak/Jadzia Dax/non-cast,1,0,0,0,0,0,1
Elim Garak/Jack,0,1,0,0,0,0,1
Corat Damar/Jadzia Dax,1,0,0,0,0,0,1
Athra Dukat/Tora Naprem,1,0,0,0,0,0,1
Kira Nerys/Tahna Los,0,1,0,0,0,0,1
Kira Nerys/Kira Reon,0,1,0,0,0,0,1
Alexander Rozhenko/non-cast,1,0,0,0,0,0,1
Kira Meru/non-cast,0,1,0,0,0,0,1
Kira Nerys/Lenara Kahn,1,0,0,0,0,0,1
Julian Bashir/Lauren,1,0,0,0,0,0,1
Total,6517,1590,244,187,174,17,8729
