relationshipspairslash,No Archive Warnings Apply,Choose Not To Use Archive Warnings,Graphic Depictions Of Violence,Major Character Death,Rape/Non-Con,Underage
Corat Damar/Ezri Dax/Kira Nerys/Weyoun,100.0,0.0,0.0,0.0,0.0,0.0
Elim Garak/Kaga,100.0,0.0,0.0,0.0,0.0,0.0
Benjamin Sisko/Tora Ziyal,100.0,0.0,0.0,0.0,0.0,0.0
Kira Nerys/Weyoun,100.0,0.0,0.0,0.0,0.0,0.0
Kira Nerys/Odo/non-cast,0.0,0.0,100.0,0.0,0.0,0.0
Grilka/Natima Lang/Quark,0.0,100.0,0.0,0.0,0.0,0.0
Benjamin Sisko/Morn/Zek/non-cast,100.0,0.0,0.0,0.0,0.0,0.0
Jadzia Dax/Julian Bashir/non-cast,0.0,100.0,0.0,0.0,0.0,0.0
Keevan/Remata'Klan/non-cast,0.0,0.0,50.0,0.0,50.0,0.0
Rom/non-cast,100.0,0.0,0.0,0.0,0.0,0.0
Curzon Dax/non-cast,100.0,0.0,0.0,0.0,0.0,0.0
Torias Dax/non-cast,100.0,0.0,0.0,0.0,0.0,0.0
Kimara Cretak/T'Rul,0.0,0.0,0.0,0.0,100.0,0.0
Benjamin Sisko/Miles O'Brien,100.0,0.0,0.0,0.0,0.0,0.0
Elim Garak/Ezri Dax/Kira Nerys/non-cast,100.0,0.0,0.0,0.0,0.0,0.0
Julian Bashir/Lieutenant Watley,0.0,100.0,0.0,0.0,0.0,0.0
Mavek/non-cast,0.0,100.0,0.0,0.0,0.0,0.0
Benjamin Sisko/Curzon Dax/Jadzia Dax,100.0,0.0,0.0,0.0,0.0,0.0
Jadzia Dax/Kilana,0.0,0.0,50.0,50.0,0.0,0.0
Kaga/non-cast,100.0,0.0,0.0,0.0,0.0,0.0
Jadzia Dax/Kasidy Yates,100.0,0.0,0.0,0.0,0.0,0.0
