,freeforms
Parent-Child Relationship,1
Grudge Fuck,1
Over the Knee,1
OTK,1
Last Warning,1
seriously incest ahead,1
genetic sexual attraction,1
first for the ship,1
CFMN,1
Hate fucking,1
GSA,1
Oomox,1
Analingus,1
xenosexuality,1
vagina tentcala,1
lady tentacles,1
cardassian females with cloacal tentacles,1
Tentacles,1
they really don't like each other,1
Phasers,1
they hate each other and neither of them are really cool with this but its hate sex so its happening,1
ok the more i reread this the more non con it comes off,1
forced but Dukat likes its,1
but sometimes when you're stuck in a cave shit happens,1
Sex at gun point,1
Rape/Non-con Elements,1
Sorry Not Sorry,1
Orgasm Delay,1
Boot Worship,1
Vacation,1
Games,1
Dukat gets dragged kind of,1
Agender Garak,1
Ritual Sex,1
Religion Kink,1
Altar Sex,1
Polyamory Negotiations,1
Growling,1
Public Masturbation,1
Memories,1
what's really impressive is that i did anything on the card at all,1
that's that real kinky shit,1
soft domming,1
ooh boy strap in,1
Gentle Sex,1
Prompted Writing,1
Canonical Character Death,1
sorry - Freeform,1
justice league - Freeform,1
Guy Fieri - Freeform - Freeform,1
Porn Watching,1
Genderplay,1
this is the first fic ive ever written im so sorry,1
they have a Thing i guess,1
not sure.,1
Quarks Bar,1
not really hate sex?,1
its consentual,1
handjobs,1
crack probably,1
but kinda?,1
Writing Trade,1
Boot Play,1
Bottom!Garak,1
it's what all the kids are doing,1
creepy Dukat is creepy,1
wartime comfort,1
there's always background garashir,1
first of the ship as far as i can see,1
background garashir,1
Comrades in Arms,1
Comfort Sex,1
Underage Rape/Non-con,1
Cardassian aggro flirting,1
Underage - Freeform,1
Non-Consensual,1
Daddy Dukat,1
Chan,1
those stitches are definitely getting fucked open so idk,1
the only ethical consumption under capitalism,1
why do i get these ideas,1
Damar is furious and he loves it,1
submissive!Garak,1
because OF COURSE THERE IS,1
s'ajansek,1
queer shit,1
non-binary femme,1
look i just really like frottage ok?,1
look aliens are basically queers in space,1
light wrestling,1
aggressive sex,1
Femme,1
aggressive seduction,1
Seduction,1
Nb femme,1
Jadzia is savage AF,1
Genderqueer,1
Gender Fluid Character,1
sutures,1
sadist!Julian,1
Chastity Play,1
Garak has a forked tongue,1
Pet Play,1
Ownership,1
Over stimulation,1
Jadzia is helping,1
Jadzia don't need no toys she's hands on,1
Golden shower,1
Face Sitting,1
Reward,1
Extreme BDSM,1
Edge Play,1
Dominant!Julian,1
Dominant!Jadzia,1
Cock Sucking,1
Claiming,1
Piss Play,1
Slutty!Garak,1
no poop tho,1
friends help friends discipline and reward their toys,1
nearly all of them actually,1
masochist!Garak,1
like this is what happens when garak behaves can you imagine when he's bad?,1
light genital slapping,1
kicking,1
impact play no toys,1
everyone tops garak,1
Stomping,1
eating ass,1
clearly i have a thing for face sitting,1
body play,1
because he's a filthy slut and loves it,1
ass worship,1
Top!Jadzia,1
kink bingo,1
it's about to get saucey,1
Cardassian Resistance,1
Enthusiastic Consent,1
(inlcuding Trip and T'Pol okay?),1
Visions,1
Sexual Situations,1
Fake Science,1
Interspecies Relationship(s),1
Alternate Timelines,1
Sexuality,1
Betazoid Weddings,1
Season/Series 04,1
Kira's family,1
Gender Identity,1
Dax's past hosts,1
Intendant Kira,1
Oo-max,1
Alternate Universe - Everyone Lives/Nobody Dies,1
Empath,1
